username,created_at,full_text
Heesqung,Wed Apr 09 05:39:40 +0000 2025,@shaozihen @WargaBTN Resign aja tuk kita #kaburajadulu
teasuh797,Wed Apr 09 05:32:39 +0000 2025,Efek sangkin seringnya bahas #kaburajadulu https://t.co/WaFgyp1GA9
naqyong,Wed Apr 09 05:16:25 +0000 2025,dalam gerakan #KaburAjaDulu
catchmeupco,Wed Apr 09 05:14:04 +0000 2025,Dibombardir pertanyaan oleh 6 pimred Prabowo jawab soal urgensi UU TNI yang buru2 disahkan &amp; gak transparan #IndonesiaGelap #KaburAjaDulu RUU Polri hingga tarif impor Trump. https://t.co/MeTXC6q6sC
tmdch,Wed Apr 09 05:11:34 +0000 2025,@txtdaritax Biaya cuman segini berlaku seumur hidup. Lulus N2 tahun 2020 dan 2025 berhasil #KaburAjaDulu ke Jepang dan sama orang sana masih diliat itu sertifnya https://t.co/4jwnz1BtXc
fauvineyard,Wed Apr 09 05:08:15 +0000 2025,@gadingsaurus Good luck TA-nya kak tetep dikerjain biar bisa #kaburajadulu
nephophilie,Wed Apr 09 04:50:17 +0000 2025,@ifanahlaziraf mending kaburajadulu ke jepun kaaak wkwkw
yocacoya,Wed Apr 09 04:32:28 +0000 2025,Emang udah paling bener #kaburajadulu
AkilaNazaffu,Wed Apr 09 04:29:59 +0000 2025,Itu mbaknya kenapa ga pindah aja sana ke negara Maju ya? Kalau katanya Kaya dan Neolib dan ga cocok disini ya silahkan aja #Kaburajadulu
oatmflk,Wed Apr 09 04:18:31 +0000 2025,aku mau jambak rambut banget ngurusin izin kerja ke th--ailand all alone... hiks. intinya kaburajadulu requires a LOT OF MONEY even if you already have a sponsor di negara barunya... kayak oh my god
weirdowitch_,Wed Apr 09 03:58:18 +0000 2025,Kalo lewat tolong baca lagi yaa kamu boleh demo tapi kamu juga harus tau diri gak semua yang ikut demo itu miskin . Well ketika mereka di black list mereka bisa minta orang tua nya buat #kaburajadulu jadi yang ngerasa biasa-biasa aja kalo udah kerja dah baik-baik ditempat
cheeselovemuah,Wed Apr 09 03:55:49 +0000 2025,Wish me luck guysss today diriku mau interview for the last step huhuhu bismillah lolos ya biar bisa #kaburajadulu 
andi_achilles,Wed Apr 09 03:43:29 +0000 2025,KaLauBisaLepasHariIni...*Mending #kaburajadulu 
JoseAndre89,Wed Apr 09 03:25:28 +0000 2025,kaburajadulu
joontriever,Wed Apr 09 03:24:09 +0000 2025,buat wni yang belum bisa ikutan kaburajadulu
primawansatrio,Wed Apr 09 03:21:24 +0000 2025,Satu lagi kandidat yang sudah berhasil #KaburAjaDulu ke Jepang 🇯🇵 Software engineer lulus kuliah di 2023 jadi pengalaman kerja belum genap 2 tahun tapi sudah punya N1. Kamu kapan ikut #KaburAjaDulu ? https://t.co/Yt2AG077mQ
swaggydnd,Wed Apr 09 03:19:14 +0000 2025,di pikir pikir gimana rakyat indonesa ga banyak utang ya semua mua di jejelin paylater dan dana cicil abis itu negara nya juga banyak utang jir yaallah yaallah everyday hmmm apa waktunya #kaburajadulu 
_real__dil_,Wed Apr 09 03:10:36 +0000 2025,@Mem0ryData @erna_st @i_am_santyyy @CNNIndonesia @grok Makin yakin lu buzzer karena begonya gak ketulungan. Narik kesimpulan seenak udel tanda logika berpikirmu berantakan. Mending #kaburajadulu drpd jadi buzzer makan bangke sodara sendiri. Dasar kao penjilat pantat wo2! Iyuuwwwhhhh!!!!!
ngetweetssss,Wed Apr 09 03:09:28 +0000 2025,@anggapph2 Disubsidi byk agar rakyat nya tidak #kaburajadulu
YRachmania,Wed Apr 09 03:05:17 +0000 2025,Maap ya Bian gak bisa bantu ente #kaburajadulu tapi teteh doain diangkat jadi Duta Pariwisata Phatthalung 
R19cakra,Wed Apr 09 03:03:03 +0000 2025,Ide bagus... Gue yakin Prabowo ga ngerti makna dari #IndonesiaGelap dan #kaburajadulu @refly @feriamsari
gabriel_lv1,Wed Apr 09 02:51:33 +0000 2025,@Benikurniawan04 @Retrouvailleste @SobatHAPE Lah kemarin bukannya udah pada #KaburAjaDulu?
READBUKU,Wed Apr 09 02:49:40 +0000 2025, #kaburajadulu bilang bahwa harusnya kalau gelap cari solusi bukan kabur (HAHA). ironic coming from him out of all people
bywway,Wed Apr 09 02:44:07 +0000 2025,@azmaelle anjay boleh tuh #kaburajadulu
i_am_rohaa,Wed Apr 09 02:43:28 +0000 2025,mon maap nih gabisa bantu #kaburajadulu 
SynxLabs,Wed Apr 09 02:36:55 +0000 2025,@choijiwoj Mau ikut kaburajadulu sama dd. 
raamyuun,Wed Apr 09 02:30:38 +0000 2025,Kalo ada kesempatan kaburajadulu pake test ielts sudah psti itu bukan untukku
daysixheroes,Wed Apr 09 02:29:38 +0000 2025,kembali jadi gadis rumah tangga dengan pacman on loop P info loker #/KaburAjaDulu @/eaJPark https://t.co/lsoKvJnIY6
nikosamuel77,Wed Apr 09 02:19:54 +0000 2025,Prabowo instruksikan aturan TKDN di kurangi Bagaimana menurut kalian? #tkdn Buat yang mau #kaburajadulu ke Singapura yuk daftar Pendirian Perusahaan resmi https://t.co/sl5ZrIBAMu
nikosamuel77,Wed Apr 09 02:14:10 +0000 2025,Alasan banyak WNI lebih memilih Singapura untuk mendirikan Perusahaan https://t.co/io8dFRoIxR #BisnisSingapura #StartupID #bisnisglobal #pajakperusahaan #pendirianpt #kaburajadulu
Ian_Vancerough,Wed Apr 09 01:39:48 +0000 2025,3. Udh warganya kemakan janji palsu yg atas²nya juga sama aja lebih bobrok lagi Jelas mas masa udah demo dimana² ga dianggep sama sekali Iyo mas yg hashtag #kaburajadulu itu masa sama menteri dibilang ga usah balik lagi kan t*l*l bukannya mengayomi malah ngusir 
chr1stoperrr,Wed Apr 09 01:25:36 +0000 2025,@hnirankara @prabowo hampersnya cocok buat #kaburajadulu
kelinciusagi,Wed Apr 09 00:56:47 +0000 2025,@rengokuroo Makin cepet ngerjain makin cepet selesai makin cepet #kaburajadulu
choijiwoj,Wed Apr 09 00:42:44 +0000 2025,@SynxLabs mengajak kita untuk jelajahi tempat-tempat menarik. Siapa yang tertarik ikut menjelajahi waktu dan #kaburajadulu bersama dd? (⁠≧⁠▽⁠≦⁠) https://t.co/KOVvPHzSN2
marimonoaho,Wed Apr 09 00:22:11 +0000 2025,gaji 50juta tapi #KaburAjaDulu
charging_soul,Wed Apr 09 00:17:51 +0000 2025,@SoundOfYogi Bener buset. Yaa aturrlahh masa orang pinter malah dianggurin. Makanya orang pi ter pada ga mau balik indo bahkan #kaburajadulu.
kideolt,Wed Apr 09 00:13:03 +0000 2025,iya deh yg berhasil #kaburajadulu 
AaronDVankov,Wed Apr 09 00:04:46 +0000 2025,@SumitroYoel terlalu byk bacot kau mana agenda kaburajadulu di bio kau? masih di sini aja
archtrsure,Tue Apr 08 23:36:21 +0000 2025,Nada bicaranya persis banget bejir. Ini sih Anak Bandung #kaburajadulu part 2 kata gue .
twentyfirstof3,Tue Apr 08 23:28:34 +0000 2025,@shurashen Di sana pajak mahal tapi worth it. Pejabrut pada kerja bikin undang2 yang pro dg kepentingan rakyat fasilitas umum jalan kesehatan pendidikan kesejahteraan diurusin sama negara. Aku kl ada kesempatan #kaburajadulu dan udah mapan di luar ya ogah balik ke sini.
paperjohns,Tue Apr 08 23:28:14 +0000 2025,@udon_hyun Ngekosnya #kaburajadulu
sigewinners,Tue Apr 08 21:43:11 +0000 2025,DICARI‼️ 18 orang buat kabur dari naik kapal nabi nuh. 9 cowo 9 cewe untuk melanjutkan peradaban. diitung itung kita patungan 300 juta #kaburajadulu https://t.co/8kbZLyQD69
ThereseClaire_,Tue Apr 08 20:55:12 +0000 2025,Twit ini dan twit yg di quotetwit adalah penyebab gue kaburajadulu Gila sejak SD kayak gini mulu bahkan di sekolah top yg katanya superdisplin dan anaknya ngambis2 pun masih ada penaltynya ‍
Polusi_udara78,Tue Apr 08 20:52:49 +0000 2025,#Asean #Smog #trending #southeastAsia #BakarSampah #KaburAjaDulu #IndonesiaGelap🇮🇩 #AirPollution @infoBMKG @dinaslhdki @DKIJakarta @LBH_Jakarta @pramonoanung 3:52 am polusi udara kembali meningkat pd pukul 3 am dini hari ini.. sprti ini data dan buktinya. Angin dr timur kebarat https://t.co/OjUdaVt6bZ
Foximile11,Tue Apr 08 20:14:38 +0000 2025,@Rizall_____ @TirtoID @prabowo Wah tanda-tanda ini #kaburajadulu
azmaelle,Tue Apr 08 18:54:46 +0000 2025,@bywway ehj tapi kalau ke negaranya jg gkpp.. #kaburajadulu 
melinastya_,Tue Apr 08 18:24:30 +0000 2025,Apakah pulang adalah pilihan yang benar dan tepat? Saat ini pulang sepertinya bukan pilihan yang aman. #kaburajadulu
